!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E6'  TableTitle=''  Document='D1 LTP time window'								
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E6T1393	13.93	409.7214	1	1530.414	1	3109.6229	1	35772.7217	1
E6T1394	13.94	408.9243	1	1531.7359	1	3109.7958	1	35774.5133	1
E6T1395	13.95	408.1282	1	1533.056	1	3109.9684	1	35776.3057	1
E6T1396	13.96	407.3331	1	1534.3744	1	3110.1408	1	35778.0988	1
E6T1397	13.97	406.539	1	1535.691	1	3110.3129	1	35779.8926	1
E6T1398	13.98	405.746	1	1537.0059	1	3110.4847	1	35781.6871	1
E6T1399	13.99	404.954	1	1538.319	1	3110.6562	1	35783.4824	1
E6T1400	14	404.163	1	1539.6305	1	3110.8275	1	35785.2783	1
E6T1401	14.01	403.3731	1	1540.9401	1	3110.9985	1	35787.0749	1
E6T1402	14.02	402.5843	1	1542.2481	1	3111.1693	1	35788.8722	1
E6T1403	14.03	401.7965	1	1543.5543	1	3111.3398	1	35790.6702	1
E6T1404	14.04	401.0098	1	1544.8588	1	3111.51	1	35792.4688	1
E6T1405	14.05	400.2242	1	1546.1615	1	3111.6799	1	35794.2681	1
E6T1406	14.06	399.4397	1	1547.4626	1	3111.8496	1	35796.068	1
E6T1407	14.07	398.6562	1	1548.7619	1	3112.019	1	35797.8686	1
E6T1408	14.08	397.8739	1	1550.0594	1	3112.1882	1	35799.6698	1
E6T1409	14.09	397.0927	1	1551.3553	1	3112.357	1	35801.4716	1
E6T1410	14.1	396.3125	1	1552.6494	1	3112.5257	1	35803.274	1
E6T1411	14.11	395.5335	1	1553.9418	1	3112.694	1	35805.077	1
E6T1412	14.12	394.7557	1	1555.2325	1	3112.8621	1	35806.8807	1
E6T1413	14.13	393.9789	1	1556.5215	1	3113.0299	1	35808.6849	1
E6T1414	14.14	393.2034	1	1557.8087	1	3113.1975	1	35810.4897	1
E6T1415	14.15	392.4289	1	1559.0942	1	3113.3647	1	35812.2951	1
E6T1416	14.16	391.6556	1	1560.3781	1	3113.5318	1	35814.101	1
E6T1417	14.17	390.8835	1	1561.6601	1	3113.6985	1	35815.9075	1
E6T1418	14.18	390.1125	1	1562.9405	1	3113.865	1	35817.7145	1
E6T1419	14.19	389.3427	1	1564.2192	1	3114.0312	1	35819.5221	1
E6T1420	14.2	388.574	1	1565.4962	1	3114.1971	1	35821.3302	1
E6T1421	14.21	387.8066	1	1566.7714	1	3114.3628	1	35823.1389	1
E6T1422	14.22	387.0403	1	1568.045	1	3114.5282	1	35824.948	1
E6T1423	14.23	386.2752	1	1569.3168	1	3114.6934	1	35826.7577	1
E6T1424	14.24	385.5114	1	1570.587	1	3114.8583	1	35828.5679	1
E6T1425	14.25	384.7487	1	1571.8554	1	3115.0229	1	35830.3786	1
E6T1426	14.26	383.9872	1	1573.1221	1	3115.1872	1	35832.1897	1
E6T1427	14.27	383.227	1	1574.3872	1	3115.3513	1	35834.0014	1
E6T1428	14.28	382.4679	1	1575.6505	1	3115.5151	1	35835.8135	1
E6T1429	14.29	381.7101	1	1576.9122	1	3115.6786	1	35837.6261	1
E6T1430	14.3	380.9535	1	1578.1721	1	3115.8419	1	35839.4392	1
E6T1431	14.31	380.1981	1	1579.4304	1	3116.0049	1	35841.2527	1
E6T1432	14.32	379.444	1	1580.687	1	3116.1677	1	35843.0666	1
E6T1433	14.33	378.6911	1	1581.9418	1	3116.3301	1	35844.881	1
E6T1434	14.34	377.9395	1	1583.195	1	3116.4923	1	35846.6958	1
E6T1435	14.35	377.1891	1	1584.4465	1	3116.6543	1	35848.511	1
E6T1436	14.36	376.44	1	1585.6964	1	3116.816	1	35850.3267	1
E6T1437	14.37	375.6921	1	1586.9445	1	3116.9774	1	35852.1428	1
E6T1438	14.38	374.9455	1	1588.191	1	3117.1385	1	35853.9592	1
E6T1439	14.39	374.2001	1	1589.4358	1	3117.2994	1	35855.7761	1
E6T1440	14.4	373.4561	1	1590.6789	1	3117.46	1	35857.5933	1
E6T1441	14.41	372.7133	1	1591.9203	1	3117.6203	1	35859.411	1
E6T1442	14.42	371.9718	1	1593.16	1	3117.7804	1	35861.229	1
E6T1443	14.43	371.2316	1	1594.3981	1	3117.9402	1	35863.0474	1
E6T1444	14.44	370.4926	1	1595.6345	1	3118.0998	1	35864.8661	1
E6T1445	14.45	369.755	1	1596.8692	1	3118.259	1	35866.6852	1
E6T1446	14.46	369.0186	1	1598.1023	1	3118.4181	1	35868.5046	1
E6T1447	14.47	368.2836	1	1599.3337	1	3118.5768	1	35870.3244	1
E6T1448	14.48	367.5498	1	1600.5634	1	3118.7353	1	35872.1445	1
E6T1449	14.49	366.8174	1	1601.7914	1	3118.8935	1	35873.965	1
E6T1450	14.5	366.0863	1	1603.0178	1	3119.0514	1	35875.7857	1
E6T1451	14.51	365.3565	1	1604.2426	1	3119.2091	1	35877.6068	1
