!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E3'  TableTitle=''  Document='D1 LTP time window'								
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E3T186	1.86	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T187	1.87	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T188	1.88	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T189	1.89	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T190	1.9	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T191	1.91	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T192	1.92	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T193	1.93	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T194	1.94	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T195	1.95	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T196	1.96	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T197	1.97	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T198	1.98	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T199	1.99	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T200	2	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T201	2.01	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T202	2.02	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T203	2.03	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T204	2.04	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T205	2.05	84.4787	1	2672.0896	1	3200.5266	1	36817.5165	1
E3T206	2.06	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T207	2.07	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T208	2.08	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T209	2.09	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T210	2.1	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T211	2.11	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T212	2.12	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T213	2.13	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T214	2.14	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T215	2.15	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T216	2.16	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T217	2.17	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T218	2.18	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T219	2.19	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T220	2.2	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T221	2.21	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T222	2.22	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T223	2.23	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T224	2.24	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T225	2.25	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T226	2.26	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T227	2.27	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T228	2.28	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T229	2.29	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T230	2.3	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T231	2.31	84.4787	1	2672.0896	1	3200.5267	1	36817.5165	1
E3T232	2.32	84.4787	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T233	2.33	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T234	2.34	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T235	2.35	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T236	2.36	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T237	2.37	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T238	2.38	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T239	2.39	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T240	2.4	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T241	2.41	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T242	2.42	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T243	2.43	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T244	2.44	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T245	2.45	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T246	2.46	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T247	2.47	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T248	2.48	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T249	2.49	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T250	2.5	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T251	2.51	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T252	2.52	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T253	2.53	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T254	2.54	84.4786	1	2672.0897	1	3200.5267	1	36817.5165	1
E3T255	2.55	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T256	2.56	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T257	2.57	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T258	2.58	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T259	2.59	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T260	2.6	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T261	2.61	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T262	2.62	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T263	2.63	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T264	2.64	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T265	2.65	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T266	2.66	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T267	2.67	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T268	2.68	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T269	2.69	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T270	2.7	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T271	2.71	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T272	2.72	84.4786	1	2672.0897	1	3200.5268	1	36817.5165	1
E3T273	2.73	84.4786	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T274	2.74	84.4786	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T275	2.75	84.4786	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T276	2.76	84.4786	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T277	2.77	84.4786	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T278	2.78	84.4786	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T279	2.79	84.4786	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T280	2.8	84.4786	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T281	2.81	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T282	2.82	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T283	2.83	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T284	2.84	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T285	2.85	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T286	2.86	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T287	2.87	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T288	2.88	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T289	2.89	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T290	2.9	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T291	2.91	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T292	2.92	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T293	2.93	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T294	2.94	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T295	2.95	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T296	2.96	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T297	2.97	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T298	2.98	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T299	2.99	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T300	3	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T301	3.01	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T302	3.02	84.4785	1	2672.0898	1	3200.5268	1	36817.5165	1
E3T303	3.03	84.4785	1	2672.0898	1	3200.5268	1	36817.5164	1
E3T304	3.04	84.4785	1	2672.0898	1	3200.5268	1	36817.5163	1
E3T305	3.05	84.4785	1	2672.0898	1	3200.5268	1	36817.5157	1
E3T306	3.06	84.4785	1	2672.0897	1	3200.5268	1	36817.5144	1
E3T307	3.07	84.4785	1	2672.0894	1	3200.5269	1	36817.5121	1
E3T308	3.08	84.4785	1	2672.0889	1	3200.5269	1	36817.5081	1
E3T309	3.09	84.4785	1	2672.0881	1	3200.5269	1	36817.5021	1
E3T310	3.1	84.4785	1	2672.0867	1	3200.5269	1	36817.4933	1
E3T311	3.11	84.4785	1	2672.0846	1	3200.5269	1	36817.4811	1
E3T312	3.12	84.4785	1	2672.0814	1	3200.5269	1	36817.4646	1
E3T313	3.13	84.4785	1	2672.077	1	3200.5269	1	36817.4429	1
E3T314	3.14	84.4785	1	2672.0709	1	3200.5269	1	36817.4147	1
E3T315	3.15	84.4785	1	2672.0627	1	3200.5268	1	36817.3788	1
E3T316	3.16	84.4785	1	2672.0519	1	3200.5268	1	36817.3334	1
E3T317	3.17	84.4785	1	2672.0379	1	3200.5268	1	36817.2768	1
E3T318	3.18	84.4785	1	2672.0199	1	3200.5268	1	36817.2068	1
E3T319	3.19	84.4786	1	2671.9972	1	3200.5268	1	36817.1207	1
E3T320	3.2	84.4786	1	2671.9687	1	3200.5267	1	36817.0156	1
E3T321	3.21	84.4787	1	2671.9333	1	3200.5267	1	36816.8878	1
E3T322	3.22	84.4787	1	2671.8895	1	3200.5266	1	36816.7334	1
E3T323	3.23	84.4788	1	2671.8358	1	3200.5265	1	36816.5476	1
E3T324	3.24	84.4789	1	2671.7703	1	3200.5264	1	36816.3249	1
E3T325	3.25	84.4791	1	2671.6909	1	3200.5263	1	36816.0592	1
E3T326	3.26	84.4792	1	2671.595	1	3200.5261	1	36815.7432	1
E3T327	3.27	84.4795	1	2671.4797	1	3200.5259	1	36815.369	1
E3T328	3.28	84.4797	1	2671.3416	1	3200.5256	1	36814.9275	1
E3T329	3.29	84.48	1	2671.1771	1	3200.5253	1	36814.4085	1
E3T330	3.3	84.4804	1	2670.9818	1	3200.5248	1	36813.8007	1
E3T331	3.31	84.4809	1	2670.7508	1	3200.5243	1	36813.092	1
E3T332	3.32	84.4814	1	2670.4786	1	3200.5237	1	36812.2688	1
E3T333	3.33	84.4821	1	2670.1593	1	3200.523	1	36811.3169	1
E3T334	3.34	84.4829	1	2669.7861	1	3200.5221	1	36810.221	1
