!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E8I'  TableTitle=''  Document='D1 LTP time window'		
!Input_Time_S24	>S24	!Input_Time_S48	>S48
5.84	62.6688	5.84	20
5.85	62.4318	5.85	20
5.86	62.2158	5.86	20
5.87	62.0191	5.87	20
5.88	61.8398	5.88	20
5.89	61.6764	5.89	20
5.9	61.5275	5.9	20
5.91	61.3918	5.91	20
5.92	61.2682	5.92	20
5.93	61.1556	5.93	20
5.94	61.053	5.94	20
5.95	60.9595	5.95	20
5.96	60.8743	5.96	20
5.97	60.7966	5.97	20
5.98	60.7259	5.98	20
5.99	60.6614	5.99	20
6	60.6027	6	20
6.01	60.5492	6.01	20
6.02	60.5004	6.02	20
6.03	60.456	6.03	20
6.04	60.4155	6.04	20
6.05	60.3786	6.05	20
6.06	60.3449	6.06	20
6.07	60.3143	6.07	20
6.08	60.2864	6.08	20
6.09	60.261	6.09	20
6.1	60.2378	6.1	20
6.11	60.2167	6.11	20
6.12	60.1974	6.12	20
6.13	60.1799	6.13	20
6.14	60.1639	6.14	20
6.15	60.1494	6.15	20
6.16	60.1361	6.16	20
6.17	60.124	6.17	20
6.18	60.113	6.18	20
6.19	60.103	6.19	20
6.2	60.0938	6.2	20
6.21	60.0855	6.21	20
6.22	60.0779	6.22	20
6.23	60.071	6.23	20
6.24	60.0647	6.24	20
6.25	60.0589	6.25	20
6.26	60.0537	6.26	20
6.27	60.0489	6.27	20
6.28	60.0446	6.28	20
6.29	60.0406	6.29	20
6.3	60.037	6.3	20
6.31	60.0337	6.31	20
6.32	60.0307	6.32	20
6.33	60.028	6.33	20
6.34	60.0255	6.34	20
6.35	60.0233	6.35	20
6.36	60.0212	6.36	20
6.37	60.0193	6.37	20
6.38	60.0176	6.38	20
6.39	60.016	6.39	20
6.4	60.0146	6.4	20
6.41	60.0133	6.41	20
6.42	60.0121	6.42	20
6.43	60.011	6.43	20
6.44	60.0101	6.44	20
6.45	60.0092	6.45	20
6.46	60.0084	6.46	20
6.47	60.0076	6.47	20
6.48	60.0069	6.48	20
6.49	60.0063	6.49	20
6.5	60.0058	6.5	20
6.51	60.0053	6.51	20
6.52	60.0048	6.52	20
6.53	60.0044	6.53	20
6.54	60.004	6.54	20
6.55	60.0036	6.55	20
6.56	60.0033	6.56	20
6.57	60.003	6.57	20
6.58	60.0027	6.58	20
6.59	60.0025	6.59	20
6.6	60.0023	6.6	20
6.61	60.0021	6.61	20
6.62	60.0019	6.62	20
6.63	60.0017	6.63	20
6.64	60.0016	6.64	20
6.65	60.0014	6.65	20
6.66	60.0013	6.66	20
6.67	60.0012	6.67	20
6.68	60.0011	6.68	20
6.69	60.001	6.69	20
6.7	60.0009	6.7	20
6.71	60.0008	6.71	20
6.72	60.0007	6.72	20
6.73	60.0007	6.73	20
6.74	60.0006	6.74	20
6.75	60.0006	6.75	20
6.76	60.0005	6.76	20
6.77	60.0005	6.77	20
6.78	60.0004	6.78	20
6.79	60.0004	6.79	20
6.8	60.0004	6.8	20
6.81	60.0003	6.81	20
6.82	60.0003	6.82	20
6.83	60.0003	6.83	20
6.84	60.0002	6.84	20
6.85	60.0002	6.85	20
6.86	60.0002	6.86	20
6.87	60.0002	6.87	20
6.88	60.0002	6.88	20
6.89	60.0002	6.89	20
6.9	60.0001	6.9	20
6.91	60.0001	6.91	20
6.92	60.0001	6.92	20
6.93	60.0001	6.93	20
6.94	60.0001	6.94	20
6.95	60.0001	6.95	20
6.96	60.0001	6.96	20
6.97	60.0001	6.97	20
6.98	60.0001	6.98	20
6.99	60.0001	6.99	20
7	60.0001	7	20
7.01	60.0001	7.01	20
7.02	60	7.02	20
7.03	60	7.03	20
7.04	60	7.04	20
7.05	60	7.05	20
7.06	60	7.06	20
7.07	60	7.07	20
7.08	60	7.08	20
7.09	60	7.09	20
7.1	60	7.1	20
7.11	60	7.11	20
7.12	60	7.12	20
7.13	60	7.13	20
7.14	60	7.14	20
7.15	60	7.15	20
7.16	60	7.16	20
7.17	60	7.17	20
7.18	60	7.18	20
7.19	60	7.19	20
7.2	60	7.2	20
7.21	60	7.21	20
7.22	60	7.22	20
7.23	60	7.23	20
7.24	60	7.24	20
7.25	60	7.25	20
7.26	60	7.26	20
7.27	60	7.27	20
7.28	60	7.28	20
7.29	60	7.29	20
7.3	60	7.3	20
7.31	60	7.31	20
7.32	60	7.32	20
7.33	60	7.33	20
7.34	60	7.34	20
7.35	60	7.35	20
7.36	60	7.36	20
7.37	60	7.37	20
7.38	60	7.38	20
7.39	60	7.39	20
7.4	60	7.4	20
7.41	60	7.41	20
